arg-id,comment-id,argument
A185001345000000001_0,185001345000000001,"Consistency in wording is important, for example, using '以下、' instead of '以下'."
A185001345000000001_1,185001345000000001,It is advisable to unify the wording either as '当たって' or 'あたって'.
A185001345000000002_0,185001345000000002,Datasets used for AI image generation should be publicly accessible to verify the absence of CSAM
A185001345000000002_1,185001345000000002,"Prior consent from creators, copyright holders, or authors should be obtained for creating datasets for AI image generation"
A185001345000000002_2,185001345000000002,"Continuous payment for dataset usage should be made to creators, copyright holders, or authors"
A185001345000000002_3,185001345000000002,Consent from rights holders and data sources should be required for AI data usage in other industries
A185001345000000002_4,185001345000000002,"Allowing AI image generation without consent significantly damages the interests and equal opportunities of creators, copyright holders, and authors"
A185001345000000002_5,185001345000000002,"Unauthorized use of works may significantly reduce the motivation and creativity of future manga artists, illustrators, and animators"
A185001345000000003_0,185001345000000003,There should be regulations specifically addressing the development and use of AI.
A185001345000000003_1,185001345000000003,AI should be treated separately from humans in terms of regulations.
A185001345000000003_2,185001345000000003,AI should not be granted copyrights as it lacks consciousness and operates as a tool.
A185001345000000003_3,185001345000000003,Regulations for AI should allow for learning but restrict public dissemination without a license.
A185001345000000003_4,185001345000000003,Clear guidelines should be established to address the intersection of AI and copyright laws.
A185001345000000003_5,185001345000000003,Japan should implement regulations to prevent negative impacts on various industries and the economy due to uncontrolled AI development.
A185001345000000004_0,185001345000000004,"AI-generated harm has already occurred in some cases, including instances of suicide overseas."
A185001345000000004_1,185001345000000004,Unrestricted AI learning in Japan could lead to the free transfer of valuable content to others.
A185001345000000004_2,185001345000000004,It is important to have concrete plans on how AI can benefit Japan rather than vague predictions.
A185001345000000004_3,185001345000000004,It is crucial to consider the specific achievements and benefits of AI in the past year rather than making ambiguous future predictions.
A185001345000000004_4,185001345000000004,Regulations in Japan should align with global trends and take into account the perspectives of creators.
A185001345000000005_0,185001345000000005,There is a need for flexible revisions in copyright law regarding AI-generated images that mimic an artist's style.
A185001345000000005_1,185001345000000005,Clear criteria should be established to differentiate between style imitation and original creative expression in AI-generated images.
A185001345000000005_2,185001345000000005,Public awareness campaigns on copyright laws and the use of AI are essential to support creativity in Japan.
A185001345000000005_3,185001345000000005,Creators' rights and moral rights should be carefully interpreted in the context of AI-generated artworks.
A185001345000000005_4,185001345000000005,"Mechanisms, such as setting watermarks, should be established to allow creators to easily refuse the use of their work in AI training datasets."
A185001345000000006_0,185001345000000006,"Some individuals who advocate for AI regulations label AI users as criminals, causing backlash and restrictions on AI usage."
A185001345000000006_1,185001345000000006,There is a need to educate the public about AI use to prevent unjust labeling and encourage fair discussions.
A185001345000000007_0,185001345000000007,"Expanding the interpretation of Article 30-4 by rights holders, including the media, could significantly inhibit large-scale language data collection for AI development."
A185001345000000007_1,185001345000000007,"Developers may be discouraged and domestic AI development could be hindered, potentially rendering Article 30-4 meaningless and impeding the country's progress."
A185001345000000007_2,185001345000000007,It is important to consider the opinions of not only rights holders but also AI developers to avoid hindering the country's development and future prospects.
A185001345000000007_3,185001345000000007,"AI technology is crucial for the future of the country, especially considering the declining birth rates and aging population."
A185001345000000008_0,185001345000000008,Actions permissible for humans should generally be permissible for AI as well.
A185001345000000008_1,185001345000000008,Limiting income based on specific professions should not be a reason for restriction.
A185001345000000009_0,185001345000000009,"Restricting the learning process in AI, such as inputting and processing data, through copyright is not supported as it may hinder the advancement of computer science."
A185001345000000009_1,185001345000000009,"If learning and output in AI violate copyright law, AI should be legally recognized with a status similar to that of a person."
A185001345000000010_0,185001345000000010,Consideration should be given to promoting fair compensation in the market for AI-generated content.
A185001345000000010_1,185001345000000010,"The current provision in copyright law, Article 30-4, which states that copyright holders do not need to pay for machine learning, may hinder the well-being of creators and impact the production of quality content."
A185001345000000010_2,185001345000000010,"To ensure that AI technology benefits society in the long run, it is necessary to make a decision on legal reforms that require permission from copyright holders for AI learning."
A185001345000000011_0,185001345000000011,Implementing technical measures to prevent unauthorized reproduction of copyrighted materials for AI learning may undermine copyright limitations as per Law 30-4.
A185001345000000011_1,185001345000000011,"Using inhibitory learning technologies like mist on digital art, where the author intends to sell the material in the future, may not fall under current copyright restrictions."
A185001345000000012_0,185001345000000012,Learning from illegal sources like pirate websites should be illegal.
A185001345000000012_1,185001345000000012,AI developers should make the source of learning data public to prevent illegal activities.
A185001345000000013_0,185001345000000013,AI technologies should be promoted for improving work efficiency in planning and administrative roles.
A185001345000000013_1,185001345000000013,"AI can enhance creativity in fields like image, music, and video generation, potentially increasing productivity."
A185001345000000013_2,185001345000000013,The use of AI for creative purposes should be encouraged while respecting the rights of existing creators.
A185001345000000013_3,185001345000000013,Clear guidelines should be established for the use of image generation AI to prevent misuse and protect creators' rights.
A185001345000000013_4,185001345000000013,Efforts should be made to integrate new AI technologies into Japanese society to improve working conditions and productivity.
A185001345000000014_0,185001345000000014,"In cases where there is a possibility of infringement, there should be a mechanism to address it even if it does not lead to a complete halt of training data sets or disposal of trained models."
A185001345000000014_1,185001345000000014,Consider implementing restrictions on generative AI to prevent the easy creation of potentially infringing content.
A185001345000000014_2,185001345000000014,Explore options such as warning operators about potential infringements or mandating warning labels for operators.
A185001345000000014_3,185001345000000014,Recognize the need for lighter claims in cases of potential infringement.
A185001345000000014_4,185001345000000014,"Given the rapid and vast nature of learning through generative AI compared to human capabilities, there is a need for different standards and practices in copyright considerations."
A185001345000000015_0,185001345000000015,Generating AI should be completely banned to protect the creativity and rights of creators.
A185001345000000015_1,185001345000000015,The use of AI for creating fake images and impersonating artists can lead to societal confusion and should be prohibited.
A185001345000000016_0,185001345000000016,The output of AI-generated content should be prohibited from public release.
A185001345000000016_1,185001345000000016,There should be penalties for individuals who falsely claim AI-generated content as their own.
A185001345000000018_0,185001345000000018,The current use of generative AI raises concerns about unauthorized data collection and exploitation.
A185001345000000018_1,185001345000000018,Generative AI should respect the rights of data owners and prevent unauthorized commercial use.
A185001345000000018_2,185001345000000018,Generative AI's ability to blend data during restoration processes raises issues of data ownership and exploitation.
A185001345000000019_0,185001345000000019,"Regulating AI learning in Japan and Western countries may not be enforceable in countries like China, leading to challenges in protecting authors' rights globally."
A185001345000000019_1,185001345000000019,"The essence of the issue with generative AI lies in the differences in speed and accessibility between AI and human learning, posing challenges for legal regulations and enforcement."
A185001345000000019_2,185001345000000019,Proposed amendment to current laws regarding AI learning includes defining infringement of authors' rights and enhancing penalties for malicious copyright infringement.
A185001345000000019_3,185001345000000019,"The suggested measures aim to strengthen protection of using copyrighted names, restrict distribution to the public, limit monetization, and clarify copyright infringement by generative AI domestically and internationally."
A185001345000000019_4,185001345000000019,"By defining clear rights infringement, considering similarities and dependencies, and treating it as a non-indictable offense, the proposed regulations are deemed to be highly effective."
A185001345000000019_5,185001345000000019,"As an example of specific legal measures, regulating the distribution of works using obscured characters like 'M●ckey Mouse' is proposed."
A185001345000000019_6,185001345000000019,"This proposal does not restrict generative AI itself and avoids hindering domestic AI technology advancement, thus emphasizing the non-detrimental impact on the competitiveness of the AI industry."
A185001345000000020_0,185001345000000020,Illustrations and photos are the property of their creators and should be used with permission or proper licensing.
A185001345000000020_1,185001345000000020,"AI-generated content should not be used or sold without permission, even though the laws are not fully established yet."
